school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,281,N,53.3848353,-6.2461083,1978,1978,0,24.159623,24.159623,0,24.159623,,2.052056,12.370609,37.509196,44.803372,,,,,
17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,126,Y,53.3301193,-6.3184595,1088,1088,0,-2.434601,-2.434601,0,-2.434601,,,-10.123364,-3.293429,1.217489,,,,,
17356K,MUIRE NA DEA COIRLE INF,176,Y,53.3306296,-6.3168518,1423,1423,0,-2.15709,-2.15709,0,-2.15709,,,-7.610434,-3.719563,2.034229,,,,,
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",435,N,53.3678069,-6.3144792,713,713,0,39.672738,39.672738,0,39.672738,,,35.602584,42.79175,29.563343,,,,,
17459U,CHRIST THE KING I G,55,Y,53.3636601,-6.2858575,2669,2669,0,0.834084,0.834084,0,0.834084,,-2.922095,-4.553703,-3.549953,20.524371,,,,,
17464N,"FIONNBARRA NAOFA B.N.S.,",139,Y,53.3691115,-6.297561,2963,2963,0,7.012544,7.012544,0,7.012544,,,11.937972,-0.579544,20.518074,,,,,
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,197,Y,53.3699148,-6.3070661,761,761,0,34.853312,34.853312,0,34.853312,,,27.05561,34.283672,40.49372,,,,,
17466R,ST CATHERINES INFANT SCHOOL,136,Y,53.3703308,-6.3071721,804,804,0,36.309969,36.309969,0,36.309969,,,27.638301,39.226587,39.092068,,,,,
17603B,SCOIL IOSAGAIN BOYS SENIOR,68,Y,53.3300258,-6.287325,1641,1641,0,9.318112,9.318112,0,9.318112,,-3.817333,15.456541,5.693525,3.561431,,,,,
17683C,MUIRE OG 2 LORETO CON,218,Y,53.3303736,-6.2964208,2635,2635,0,18.202986,18.202986,0,18.202986,,13.56655,25.455808,12.78755,25.327707,,,,,
17730I,S N NA LANAI GLASA,280,N,53.3653976,-6.1894576,463,463,0,15.245518,15.245518,0,15.245518,,12.085965,29.789787,-6.921794,-9.895066,,,,,
17732M,SCOIL CHIARAIN,133,Y,53.3739829,-6.2148823,410,383,27,24.471916,19.254769,5.217147,14.037622,,-25.085111,32.976985,5.310552,11.7825,,,72.237423,,
17881G,SCOIL UI CHONAILL BOYS SENIORS,182,Y,53.3592965,-6.2515085,1184,1141,43,25.377769,21.889699,3.48807,18.401629,,14.623,30.92952,24.678739,10.986757,,,,77.900238,
17893N,SANCTA MARIA C B S,100,Y,53.3333413,-6.2672467,10503,9851,652,20.415512,20.144018,0.271494,19.872524,28.690803,,18.442161,20.474361,31.28221,,,5.811262,,-4.206471
17912O,S N EOIN BOSCO BUACH,449,N,53.3678673,-6.3137558,685,685,0,42.55487,42.55487,0,42.55487,,,38.554285,45.973732,31.9527,,,,,
17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,331,N,53.3636387,-6.1974817,872,872,0,5.185305,5.185305,0,5.185305,,,7.020193,-8.949094,6.42535,,,,,
17976R,SCOIL ASSAIM BOYS SENIORS,297,N,53.3784824,-6.1768442,2084,2079,5,11.03076,11.083954,-0.053193,11.137147,,29.362638,19.509852,0.77622,10.235711,,,-25.86525,,
