school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
19929S,ST BRIGIDS SENIOR GIRLS,230,Y,53.3862754,-6.3102112,358,358,0,5.784712,5.784712,0.000000,5.784712,,,9.221566,4.396837,6.945064,,,,,
19933J,SCOIL TREASA NAOFA,192,Y,53.3344596,-6.2793638,11869,11135,734,7.864877,7.288011,0.576866,6.711145,10.113449,,8.373945,7.134461,6.913163,,,9.222006,,
19935N,SCOIL EOIN,139,Y,53.3870066,-6.1570723,1281,1281,0,10.172425,10.172425,0.000000,10.172425,,,7.890205,10.401823,,,,,,
19946S,RUTLAND NATIONAL SCHOOL,162,Y,53.3533709,-6.2551024,14945,14146,799,7.208361,6.951243,0.257118,6.694125,,7.733453,6.983914,8.545603,7.053581,,,4.678691,4.354832,7.395234
19954R,NORTH BAY EDUCATE TOGETHER NS,212,N,53.3853245,-6.1525751,1647,1647,0,11.163698,11.163698,0.000000,11.163698,,,5.471950,11.780783,,,,,,
19981U,ST MARYS N S,222,Y,53.3641737,-6.2382837,7778,7712,66,7.067894,6.966793,0.101100,6.865693,,7.792280,7.737695,6.755257,3.807623,,,11.652651,,
20012S,GRIFFITH BARRACKS MULTI D SCHOOL,309,N,53.3308077,-6.2795513,8821,8587,234,8.761715,8.508579,0.253136,8.255443,,,9.245504,8.804728,6.572780,,,9.407153,,
20015B,GAELSCOIL BHAILE MUNNA,176,Y,53.3982982,-6.256058,1110,1110,0,4.705682,4.705682,0.000000,4.705682,,,4.516109,5.012398,,,,,,
20029M,ST BRIGIDS INFANT N S,232,Y,53.3861926,-6.308412,282,282,0,5.934200,5.934200,0.000000,5.934200,,,5.256195,6.671385,3.847437,,,,,
20035H,ST GABRIELS N S,128,Y,53.3538543,-6.2906696,4874,4874,0,6.737731,6.737731,0.000000,6.737731,,,6.126462,5.853524,17.011525,,,,,
20047O,GAELSCOIL BHARRA,210,Y,53.3648814,-6.2891756,2951,2951,0,6.528402,6.528402,0.000000,6.528402,,6.185978,6.085464,5.838730,8.998151,,,,,
20048Q,GAELSCOIL LIOS NA NOG,228,N,53.3221546,-6.2567926,1867,1857,10,4.366603,4.352435,0.014167,4.338268,,,3.812616,5.659159,3.183807,,,2.577100,,
20052H,GAELSCOIL CHOLMCILLE,274,N,53.3960102,-6.2305956,3461,3364,97,9.090146,8.736519,0.353626,8.382893,,11.501600,8.441764,7.935288,14.943898,,,12.778112,,11.545057
20059V,MOTHER OF DIVINE GRACE,491,Y,53.3863281,-6.2874542,1662,1662,0,7.533963,7.533963,0.000000,7.533963,,,9.329915,6.434442,7.009765,,,,,
20064O,OUR LADY OF CONSOLATION NS,287,Y,53.3743785,-6.21686,3911,3783,128,8.200951,7.918287,0.282664,7.635623,,7.483829,6.252805,7.538566,11.689022,,,8.807191,,5.973750
20091R,ST PETERS NS,469,Y,53.3617557,-6.2765543,7900,7900,0,7.598529,7.598529,0.000000,7.598529,,5.586140,7.225310,6.233539,10.480180,,,,,
20092T,ST ULTANS NS,402,Y,53.3367966,-6.3738702,1780,1619,161,5.439965,4.560301,0.879663,3.680638,,,5.150282,5.061518,4.404771,,,,9.556099,
20103V,JOHN SCOTTUS NS,190,N,53.3344211,-6.2373189,3241,3125,116,7.341761,7.024401,0.317359,6.707042,,7.723357,6.426674,7.251359,8.913229,,5.911761,8.478627,,10.636472
20104A,ST AUDOENS NS,185,Y,53.3443321,-6.2743708,66532,64942,1590,5.534270,5.268415,0.265854,5.002561,11.966322,3.586158,6.940050,4.063368,10.073241,,,9.528453,11.367440,10.982044
20131D,EDUCATE TOGETHER NS,470,N,53.3520302,-6.2782793,1885,1885,0,6.370607,6.370607,0.000000,6.370607,,6.602690,5.623141,8.063943,11.333310,,,,,
20139T,INCHICORE NS,208,Y,53.3413932,-6.3200962,6305,5754,551,7.752340,6.867157,0.885183,5.981974,10.096698,9.113960,7.361946,5.288842,9.606373,,,10.218864,8.981933,7.909000
20152L,NORTH DUBLIN MUSLIM NS PROJECT,316,N,53.3634993,-6.2996924,7171,7171,0,7.256098,7.256098,0.000000,7.256098,,6.743333,8.683392,6.555678,7.367000,,,,,
20168D,GLASNEVIN EDUCATE TOGETHER NS,341,N,53.3787553,-6.269234,4158,4158,0,6.140067,6.140067,0.000000,6.140067,,7.790677,11.057754,3.846792,4.770564,,,,,
20220C,GAELSCOIL UI EARCAIN,344,Y,53.3874063,-6.2899421,1530,1530,0,7.648569,7.648569,0.000000,7.648569,,,9.648805,6.631472,7.332803,,,,,
20281W,St Benedicts and St Marys National School,141,Y,53.3884024,-6.1642907,1060,1060,0,10.904400,10.904400,0.000000,10.904400,,,,11.335424,1.706170,,,,,
20304I,St. Francis of Assisi National School,455,N,53.4049148,-6.1699143,597,548,49,9.683250,8.888578,0.794671,8.093907,,,9.205590,9.245381,16.507571,,,9.665795,,
20308Q,Belmayne Educate Together National School,437,Y,53.408322,-6.1665024,683,614,69,23.634289,22.534856,1.099433,21.435423,,,23.747119,27.795678,24.355250,,,10.627855,,
20338C,Holy Child National School,406,N,53.3859343,-6.2451174,5385,5331,54,11.586584,11.509020,0.077563,11.431457,,36.919148,11.819578,9.958997,11.075427,,,,6.563722,8.081166
20392I,Pelletstown ETNS,260,N,53.3772931,-6.3313729,3013,3013,0,7.055156,7.055156,0.000000,7.055156,,7.674824,10.531032,7.491963,6.289677,,,,,
20429F,ST. JAMES'S PRIMARY SCHOOL,251,Y,53.3403895,-6.2901689,4139,3915,224,8.467512,7.793288,0.674223,7.119065,,,9.983037,5.860143,7.299106,,,12.427986,,
20430N,Canal Way Educate Together National School,317,N,53.3403638,-6.2894442,5328,5044,284,8.463887,7.811961,0.651925,7.160036,,,9.895689,5.902314,7.264714,,,12.196059,,
20436C,St Mary's Primary School,243,Y,53.3548071,-6.2672886,19872,19853,19,6.751500,6.748376,0.003124,6.745252,,18.395831,6.171354,7.180779,6.440768,,,,3.257894,
20441S,Shellybanks Educate Together National School,277,N,53.3328982,-6.213878,4355,4343,12,6.583327,6.566223,0.017103,6.549120,,8.637047,6.784500,5.438992,,,6.151666,,,
20450T,Assumption Junior School,401,N,53.3228994,-6.3321158,2890,2890,0,6.815759,6.815759,0.000000,6.815759,,,8.493994,7.099312,4.388208,,,,,
20453C,Broombridge Educate Together National School,119,N,53.3708109,-6.2939088,3435,3435,0,6.942942,6.942942,0.000000,6.942942,,,9.189479,5.338143,8.482065,,,,,
20486R,Grace Park Educate Together National School,182,N,53.3723734,-6.2475481,588,588,0,7.503248,7.503248,0.000000,7.503248,,7.385619,12.242000,8.653140,4.426802,,,,,
20488V,Scoil Úna Naofa,412,Y,53.3206231,-6.3074649,1896,1896,0,5.657083,5.657083,0.000000,5.657083,,,3.384875,6.104546,5.478378,,,,,
20501K,Harcourt Terrace Educate Together National School,31,N,53.3236468,-6.2776649,2802,2802,0,7.011284,7.011284,0.000000,7.011284,,5.713685,6.726374,8.791575,5.117368,,,,,
20502M,Scoil Sinead NS,30,N,53.3840963,-6.3180084,792,792,0,8.612176,8.612176,0.000000,8.612176,,,10.243535,7.182507,10.274385,,,,,
20507W,St Laurence O'Toole's National School,163,Y,53.3511132,-6.2424733,6575,6250,325,8.521876,8.206438,0.315438,7.891000,,7.579230,9.798826,7.194789,7.749366,,,6.912504,,5.112885
20517C,Drumcondra Marino Dublin 1 gaelscoil,16,N,53.3730795,-6.2636596,1123,1123,0,6.366498,6.366498,0.000000,6.366498,,8.342780,6.231001,5.288814,9.184993,,,,,
20520O,Dublin 6 Clonskeagh and Dublin 6W Primary School,12,N,53.3236468,-6.2776649,2802,2802,0,7.011284,7.011284,0.000000,7.011284,,5.713685,6.726374,8.791575,5.117368,,,,,
20545H,St Christopher's NS,626,Y,53.3350796,-6.2402099,11388,10924,464,7.636172,7.478789,0.157382,7.321407,,8.123927,6.608040,7.330878,8.909430,,4.659000,4.577961,1.792898,11.058720
