school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
16860Q,CORPUS CHRISTI N S,439,N,53.3748501,-6.2574691,2798,2798,0,5.615546,5.615546,0.000000,5.615546,,8.206810,5.792918,4.685877,5.804621,,,,,
16964F,SCOIL MHUIRE OGH 1,236,Y,53.3292003,-6.2958826,2688,2688,0,7.468389,7.468389,0.000000,7.468389,,,8.151343,8.016594,5.678738,,,,,
16966J,SCOIL NAISIUNTA STRATFORD,93,N,53.3096452,-6.2748588,2371,2371,0,6.229975,6.229975,0.000000,6.229975,,6.293948,4.787241,6.494086,11.311159,,,,,
16983J,S N NAOMH CILLIN,38,Y,53.3250976,-6.3457871,764,753,11,10.373392,9.828703,0.544689,9.284014,,5.997383,10.749951,9.622095,21.302000,,,,37.583545,
16988T,CHRIST THE KING B N S,108,Y,53.3635807,-6.2852461,4734,4734,0,6.928725,6.928725,0.000000,6.928725,,5.900508,6.043394,6.658184,10.448027,,,,,
16989V,CHRIST THE KING GIRLS SENIOR SCHOOL,99,Y,53.3636601,-6.2858575,3918,3918,0,6.897867,6.897867,0.000000,6.897867,,6.179784,5.956347,6.636020,10.164271,,,,,
17083B,S N MUIRE GAN SMAL B,340,Y,53.337632,-6.3250901,1003,944,59,9.242206,8.235913,1.006292,7.229621,,6.861140,9.451183,8.648584,,,,,17.038745,
17104G,ST FRANCIS JUNIOR NATIONAL SCHOOL,200,Y,53.4035234,-6.2049377,1853,1692,161,8.518435,7.515095,1.003339,6.511756,,8.518854,6.452630,12.144104,5.297596,,,11.005577,,
17110B,NAOMH LORCAN O TUATHAIL SENIOR BOYS,65,Y,53.3531329,-6.2437706,3092,2967,125,8.878771,8.511697,0.367073,8.144624,,7.602011,9.685097,8.508181,7.913986,,,10.202177,,6.110228
17148D,S N EOIN BAISDE GIRLS SENIOR,407,N,53.3636531,-6.1994126,1178,1178,0,10.224442,10.224442,0.000000,10.224442,,,10.703587,7.651777,3.962610,,,,,
17210F,CLOCHAR LUGHAIDH CAILIN,451,N,53.3245012,-6.2685788,2391,2301,90,6.099358,5.965446,0.133912,5.831534,,4.480431,7.758068,6.711904,5.774942,,,4.132155,,
17211H,CLOCHAR LUGHAIDH NAOIDH,295,N,53.3246405,-6.2676013,4721,4452,269,6.343470,6.129973,0.213497,5.916476,,4.762433,6.832397,7.413498,7.345667,,,4.153420,,
17214N,St. Vincent's Primary School,283,N,53.3676579,-6.2750058,2206,2206,0,7.252421,7.252421,0.000000,7.252421,,9.227508,6.319100,7.426281,7.599006,,,,,
17318C,SCOIL AN LEINBH IOSA BOYS SENIORS,281,N,53.3848353,-6.2461083,4811,4762,49,9.767198,9.691282,0.075916,9.615366,,36.847719,10.069258,8.440060,9.707191,,,,6.963285,7.392690
17355I,MUIRE NA DEA COIRLE GIRLS SENIOR,126,Y,53.3301193,-6.3184595,1859,1859,0,7.202761,7.202761,0.000000,7.202761,,,6.725412,3.138006,12.892101,,,,,
17356K,MUIRE NA DEA COIRLE INF,176,Y,53.3306296,-6.3168518,2009,2009,0,5.012398,5.012398,0.000000,5.012398,,,6.862429,3.339422,5.789040,,,,,
17367P,"MARY, HELP OF CHRISTIANS G.N.S.",435,N,53.3678069,-6.3144792,1162,1162,0,7.482439,7.482439,0.000000,7.482439,,,6.335572,7.832219,14.901607,,,,,
17459U,CHRIST THE KING I G,55,Y,53.3636601,-6.2858575,3918,3918,0,6.897867,6.897867,0.000000,6.897867,,6.179784,5.956347,6.636020,10.164271,,,,,
17464N,"FIONNBARRA NAOFA B.N.S.,",139,Y,53.3691115,-6.297561,5747,5747,0,7.215075,7.215075,0.000000,7.215075,,,7.637840,5.862531,9.740665,,,,,
17465P,DOMINICAN CONVENT GIRLS SENIOR SCHOOL,197,Y,53.3699148,-6.3070661,1481,1481,0,6.957836,6.957836,0.000000,6.957836,,,5.984375,6.665480,8.052938,,,,,
17466R,ST CATHERINES INFANT SCHOOL,136,Y,53.3703308,-6.3071721,1543,1543,0,7.028094,7.028094,0.000000,7.028094,,,6.376023,6.636606,8.027043,,,,,
17603B,SCOIL IOSAGAIN BOYS SENIOR,68,Y,53.3300258,-6.287325,2975,2975,0,12.781409,12.781409,0.000000,12.781409,,,15.122722,12.827661,6.564790,,,,,
17683C,MUIRE OG 2 LORETO CON,218,Y,53.3303736,-6.2964208,4824,4824,0,7.123916,7.123916,0.000000,7.123916,,,7.799678,7.915227,5.132814,,,,,
17730I,S N NA LANAI GLASA,280,N,53.3653976,-6.1894576,633,633,0,10.503701,10.503701,0.000000,10.503701,,4.960306,10.498134,15.978993,5.679166,,,,,
17732M,SCOIL CHIARAIN,133,Y,53.3739829,-6.2148823,879,833,46,7.211934,6.733186,0.478747,6.254439,,8.317800,6.963311,6.300148,14.177405,,,9.148239,,
17881G,SCOIL UI CHONAILL BOYS SENIORS,182,Y,53.3592965,-6.2515085,3164,3006,158,5.845702,5.686711,0.158991,5.527720,,6.393905,7.796235,5.505641,3.073056,,,,3.338816,
17893N,SANCTA MARIA C B S,100,Y,53.3333413,-6.2672467,21439,20237,1202,7.754138,7.511077,0.243061,7.268016,11.700317,8.900517,6.966759,6.823032,13.404655,,,3.161967,,11.991897
17912O,S N EOIN BOSCO BUACH,449,N,53.3678673,-6.3137558,1009,1009,0,7.709274,7.709274,0.000000,7.709274,,,6.827497,7.809796,14.769888,,,,,
17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,331,N,53.3636387,-6.1974817,4353,4353,0,8.139264,8.139264,0.000000,8.139264,,,10.145568,4.163324,3.373760,,,,,
17976R,SCOIL ASSAIM BOYS SENIORS,297,N,53.3784824,-6.1768442,3862,3847,15,9.982096,9.958080,0.024015,9.934065,,5.286557,7.908727,11.790067,11.327284,,,6.175133,,
17977T,SCOIL AINE CONVENT SENIOR,363,N,53.3783439,-6.1773997,3499,3485,14,10.392009,10.368499,0.023509,10.344990,,5.640934,7.929841,12.471298,10.259697,,,5.867285,,
17978V,NAISCOIL IDE,379,N,53.3779098,-6.178314,2681,2670,11,10.517534,10.490663,0.026870,10.463793,,5.855354,7.912327,13.223963,6.043036,,,6.534363,,
18137D,SN NAOMH FEARGAL BOYS SENIOR,153,Y,53.3876137,-6.3067932,1053,1053,0,5.556359,5.556359,0.000000,5.556359,,,7.030886,4.979556,5.406775,,,,,
18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,243,N,53.3232154,-6.3323548,2491,2491,0,7.113368,7.113368,0.000000,7.113368,,,9.024971,7.357018,4.183312,,,,,
18205R,S N AN PHAROISTE,62,Y,53.3883596,-6.3035023,2163,2163,0,5.491921,5.491921,0.000000,5.491921,,,6.997185,4.938652,5.874047,,,,,
