school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
17730I,S N NA LANAI GLASA,280,N,53.3653976,-6.1894576,633,633,0,12.963496,12.963496,0.000000,12.963496,,10.844037,26.061964,-5.849342,-8.302500,,,,,
17732M,SCOIL CHIARAIN,133,Y,53.3739829,-6.2148823,879,833,46,27.946317,23.047153,4.899164,18.147989,,-24.005575,34.939981,6.728431,14.607457,,,77.829909,,
17881G,SCOIL UI CHONAILL BOYS SENIORS,182,Y,53.3592965,-6.2515085,3164,3006,158,31.938662,27.523628,4.415033,23.108595,,25.104561,30.211422,30.394786,27.474727,,,,72.622795,
17893N,SANCTA MARIA C B S,100,Y,53.3333413,-6.2672467,21439,20237,1202,24.013682,23.057492,0.956189,22.101303,34.065559,-6.611214,21.647449,24.207198,33.246343,,,17.604103,,-3.115842
17912O,S N EOIN BOSCO BUACH,449,N,53.3678673,-6.3137558,1009,1009,0,38.096013,38.096013,0.000000,38.096013,,,35.988125,40.203803,29.378068,,,,,
17936F,SN EOIN BAISDE BOYS SENIOR SCHOOL,331,N,53.3636387,-6.1974817,4353,4353,0,7.921545,7.921545,0.000000,7.921545,,,8.922733,6.014352,7.859557,,,,,
17976R,SCOIL ASSAIM BOYS SENIORS,297,N,53.3784824,-6.1768442,3862,3847,15,11.467789,11.569386,-0.101597,11.670983,,27.321137,23.060530,1.512764,7.884740,,,-26.154000,,
17977T,SCOIL AINE CONVENT SENIOR,363,N,53.3783439,-6.1773997,3499,3485,14,8.293739,8.405274,-0.111535,8.516809,,21.267944,22.109445,-2.350312,7.325936,,,-25.844285,,
17978V,NAISCOIL IDE,379,N,53.3779098,-6.178314,2681,2670,11,3.223582,3.326546,-0.102963,3.429509,,17.455521,21.756135,-8.266504,5.780621,,,-22.726909,,
18137D,SN NAOMH FEARGAL BOYS SENIOR,153,Y,53.3876137,-6.3067932,1053,1053,0,1.963805,1.963805,0.000000,1.963805,,,-11.845632,3.509398,13.822276,,,,,
18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,243,N,53.3232154,-6.3323548,2491,2491,0,16.583315,16.583315,0.000000,16.583315,,63.929785,17.625184,17.790835,9.604757,,,,,
18205R,S N AN PHAROISTE,62,Y,53.3883596,-6.3035023,2163,2163,0,20.966687,20.966687,0.000000,20.966687,,,-9.974246,16.424796,56.903675,,,,,
18282M,SN PAROISTE MAITIU NFA,223,N,53.3373327,-6.2211561,9973,9888,85,5.197942,4.821707,0.376235,4.445472,,-1.240873,-2.229354,35.007000,6.893734,,33.723101,,,
18360G,SCOIL BHREANDAIN,157,Y,53.3842884,-6.1961926,836,836,0,12.646105,12.646105,0.000000,12.646105,,,19.283405,4.071530,4.260600,,,,,
18361I,SN CAITRIONA GIRLS,177,Y,53.3849953,-6.1981399,53,53,0,38.291882,38.291882,0.000000,38.291882,,,38.291882,,,,,,,
18362K,S N CAITRIONA NAIONAIN,248,Y,53.3851028,-6.1989158,54,54,0,-2.050115,-2.050115,0.000000,-2.050115,,,-2.050115,,,,,,,
18386B,MARIST NATIONAL SCHOOL,283,Y,53.3260676,-6.2932641,805,805,0,6.957964,6.957964,0.000000,6.957964,,,6.992058,-0.816103,20.374373,,,,,
18477E,SCOIL NA MBRATHAR,155,Y,53.3414328,-6.2735045,19621,18150,1471,20.683987,20.385857,0.298130,20.087727,38.264134,19.879670,23.314053,19.196849,26.652014,,,15.104082,0.129751,20.725471
18632N,S N EOIN BOSCO NAI BUAC,196,N,53.3683529,-6.3144301,755,755,0,34.419736,34.419736,0.000000,34.419736,,,32.098778,36.737104,26.694500,,,,,
18646B,SPRINGDALE N S,242,N,53.3822925,-6.1795354,1228,1228,0,6.668648,6.668648,0.000000,6.668648,,,17.085909,-2.393936,5.579900,,,,,
18682F,ST CANICES B N S,408,Y,53.3892302,-6.2920388,4074,4074,0,22.854186,22.854186,0.000000,22.854186,,,8.109087,46.172688,15.060509,,,,,
18683H,ST CANICES G N S,486,Y,53.3894636,-6.2967774,6455,6455,0,22.175140,22.175140,0.000000,22.175140,,,10.153356,35.896176,22.229988,,,,,
18726W,S N SEOSAMH NA MBRATHAR,125,Y,53.3639026,-6.2336681,5291,5254,37,36.258451,36.258451,0.000000,36.258451,,39.544210,31.863169,42.767385,40.045947,,,,,
18817C,S N BRIGHDE,436,N,53.3218661,-6.2572303,2282,2262,20,-2.424337,-2.945302,0.520965,-3.466267,,,-17.043538,2.826007,5.183519,,,58.430368,,
18910P,BANTIARNA NA MBUANNA BOYS,200,Y,53.3890528,-6.2682797,2801,2801,0,20.531990,20.531990,0.000000,20.531990,,,9.328132,21.646412,45.850128,,,,,
18911R,BANTIARNA NA MBUANNA GIRLS,202,Y,53.38871,-6.266596,4383,4383,0,30.055972,30.055972,0.000000,30.055972,,34.750984,20.875005,31.135813,59.458536,,,,,
18968A,ST MALACHYS B N S,160,Y,53.3881716,-6.1805702,852,852,0,-1.043065,-1.043065,0.000000,-1.043065,,,17.637553,-9.806501,-3.528052,,,,,
18969C,ST EITHNES SENIOR GIRLS NS,87,Y,53.3895053,-6.1807765,1259,1259,0,9.698342,9.698342,0.000000,9.698342,,,20.571310,-8.219069,12.304594,,,,,
19006Q,EOIN BAISDE B SOIS,334,N,53.3639162,-6.197803,3583,3583,0,7.103888,7.103888,0.000000,7.103888,,,8.347297,4.685277,9.883876,,,,,
19007S,EOIN BAISDE C NAOIDH,276,N,53.3636216,-6.1997731,1172,1172,0,4.079171,4.079171,0.000000,4.079171,,,4.944490,-11.535224,5.704571,,,,,
19015R,ST JOSEPHS G N S,169,Y,53.3951771,-6.309877,1129,1129,0,6.995841,6.995841,0.000000,6.995841,,3.031972,0.733778,-1.324533,14.222501,,,,,
19037E,ST MONICAS N S,45,Y,53.3893635,-6.1805892,1139,1139,0,8.785742,8.785742,0.000000,8.785742,,,21.164061,-8.500830,8.107589,,,,,
19197D,ST KEVINS B N S,169,Y,53.3960121,-6.3093259,1509,1509,0,9.262183,9.262183,0.000000,9.262183,,2.531750,-0.093436,5.270898,19.046064,,,,,
19208F,HOLY SPIRIT B N S,337,Y,53.3959344,-6.2699076,643,643,0,-0.588740,-0.588740,0.000000,-0.588740,,,-4.274448,4.939822,,,,,,
19209H,SN AN SPIORAID NAIOMH C,308,Y,53.3956358,-6.2710978,485,485,0,-3.124951,-3.124951,0.000000,-3.124951,,,-5.480708,1.169897,,,,,,
19242F,OUR LADY OF VICTORIES INFANT N S,233,Y,53.3886953,-6.2670763,4225,4225,0,29.070048,29.070048,0.000000,29.070048,,35.719106,20.377557,29.065335,55.840990,,,,,
19297H,CROMCASTLE GREEN B N S,212,Y,53.3948577,-6.220007,1848,522,1326,-3.108675,1.631562,-4.740237,6.371799,,-5.307538,5.705874,1.806666,29.706017,,,-6.439850,,
19298J,SCOIL NAIS IDE CAILINI,145,Y,53.3951573,-6.2199655,1933,602,1331,-2.811398,1.767820,-4.579218,6.347038,,-5.878933,5.031791,1.952298,29.266294,,,-6.469853,,
19302U,SN NA MAIGHDINE MUIRE B,131,Y,53.3957116,-6.2604495,1052,1052,0,6.500666,6.500666,0.000000,6.500666,,,5.183956,10.062099,,,,,,
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,166,Y,53.3957788,-6.2610331,968,968,0,7.370060,7.370060,0.000000,7.370060,,,5.626159,12.061984,,,,,,
19308J,ST BRIGIDS BOYS N S,350,N,53.3748068,-6.1954114,4678,4648,30,24.951305,25.063576,-0.112271,25.175847,,23.063447,30.578317,8.740475,28.477419,,,-15.051900,,
19309L,SCOIL NEASAIN,252,N,53.3821258,-6.1964247,1147,1147,0,6.486558,6.486558,0.000000,6.486558,,-18.581863,20.014485,-3.181588,-7.164105,,,,,
19395H,SCOIL MOBHI,254,N,53.3734548,-6.2632061,1083,1083,0,7.563209,7.563209,0.000000,7.563209,,13.133944,2.684374,-0.995674,41.174123,,,,,
19406J,HOLY TRINITY SEN N S,381,N,53.3965438,-6.1612917,5168,4556,612,13.411807,13.783647,-0.371839,14.155486,,,14.717637,16.138852,24.538735,,,-3.138709,,
19431I,ST JOSEPHS JNR,154,Y,53.4013335,-6.2705818,1261,1261,0,6.955055,6.955055,0.000000,6.955055,,,-0.124864,13.995715,,,,,,
19454U,DARNDALE NS JUNIOR,213,Y,53.401339,-6.193453,88,88,0,-7.139469,-7.139469,0.000000,-7.139469,,,-7.139469,,,,,,,
19471U,ST PAULS JUNIOR NATIONAL SCHOOL,226,N,53.3949633,-6.1836297,611,611,0,-4.081318,-4.081318,0.000000,-4.081318,,,-3.067845,-9.102022,6.379586,,,,,
19473B,SCOIL BHRIDE,410,N,53.3971796,-6.1611094,5113,4569,544,20.277011,20.272566,0.004445,20.268121,,,20.848981,28.814421,21.438819,,,0.041671,,
19489Q,SN NAOMH FINNIN,249,Y,53.3806108,-6.3121104,1740,1740,0,13.949107,13.949107,0.000000,13.949107,,3.198720,4.565750,13.637253,27.095626,,,,,
19496N,SCOIL FHIACHRA SOISIR,652,N,53.3877539,-6.2262956,23,23,0,1.313478,1.313478,0.000000,1.313478,,,,,1.313478,,,,,
19524P,OUR LADY IMMAC SEN N S,193,Y,53.4018005,-6.1934085,124,124,0,-7.095577,-7.095577,0.000000,-7.095577,,,-7.095577,,,,,,,
19538D,ST KEVINS JUNIOR N S,197,N,53.3965638,-6.1578348,498,488,10,1.288144,1.071129,0.217014,0.854115,,,-3.314127,32.179431,,,,10.351600,,
19546C,ST OLIVER PLUNKETT N S,142,Y,53.3818496,-6.2997749,718,718,0,8.231225,8.231225,0.000000,8.231225,,3.139454,-6.161720,14.892003,16.745934,,,,,
19583I,ST JOSEPHS SENIOR N S,138,Y,53.4013646,-6.2719084,1119,1119,0,5.929590,5.929590,0.000000,5.929590,,,-1.110535,13.134835,,,,,,
19589U,GAELSCOIL INSE CHOR,241,N,53.3440411,-6.311834,2209,2042,167,39.390858,37.790110,1.600748,36.189362,35.663880,45.951561,39.611497,47.797895,40.949341,,,10.336118,,59.288058
19611K,SCOIL NAOMH COLMCILLE,217,N,53.3967797,-6.1591405,1554,1397,157,15.770945,15.824068,-0.053123,15.877191,,,13.970896,34.679196,,,,-0.525566,,
19618B,ST PAULS SEN NS,233,N,53.3952276,-6.18367,732,732,0,5.728941,5.728941,0.000000,5.728941,,,4.166210,2.363297,27.087828,,,,,
19619D,ST MALACHYS NS,148,Y,53.3823876,-6.2997998,813,813,0,7.455541,7.455541,0.000000,7.455541,,3.369480,-7.825385,14.578691,15.484144,,,,,
19628E,ST FIACHRAS SEN N S,724,N,53.3876711,-6.2244013,894,829,65,3.135083,3.976418,-0.841335,4.817753,,,7.224362,2.674383,6.461976,,,1.047607,,-18.658909
19661C,ST GABRIELS NS,270,Y,53.3429717,-6.3473097,3135,2909,226,24.902852,24.792648,0.110204,24.682444,,55.032988,13.638452,35.643365,36.896179,,,8.699511,-2.520007,5.144761
19662E,ST MICHAELS NS,379,Y,53.3433768,-6.3480633,3134,2908,226,24.050064,23.909260,0.140803,23.768457,,61.598315,12.375516,35.396620,35.390395,,,9.174711,-2.657000,5.575636
19663G,ST RAPHAELS NS,362,Y,53.3431876,-6.3477234,3130,2911,219,24.714136,24.598501,0.115635,24.482866,,58.224634,13.044522,35.567786,36.963228,,,8.861931,-2.943180,5.397604
19668Q,ST FRANCIS SENIOR N S,219,Y,53.4038266,-6.205909,1652,1506,146,11.563840,12.266657,-0.702816,12.969473,,12.783869,19.475392,11.759849,5.693925,,,-6.880471,,
19669S,LADY OF GOOD COUNSEL BOYS SENIOR NS,146,Y,53.3303441,-6.3170366,1983,1983,0,-2.100001,-2.100001,0.000000,-2.100001,,,-8.136951,-2.881283,1.591024,,,,,
19727G,ST MARYS CENTRAL N S,538,N,53.3210652,-6.2389255,1822,1822,0,7.589589,7.589589,0.000000,7.589589,,18.825675,1.805900,2.376890,23.029542,,,,,
19777V,GAELSCOIL MIDE,239,N,53.3855085,-6.152911,1508,1508,0,-9.041677,-9.041677,0.000000,-9.041677,,,6.660234,-11.153715,,,,,,
19831B,SCOIL CHAOIMHIN,60,Y,53.3512957,-6.2576946,9600,8930,670,33.102028,25.661081,7.440947,18.220134,,11.303548,45.282041,13.241129,31.432070,,,73.239900,80.977893,14.809714
19837N,DRIMNAGH CASTLE CBS N S,371,N,53.3243593,-6.3309211,2147,2147,0,23.678462,23.678462,0.000000,23.678462,,72.207833,32.097382,22.666272,16.348374,,,,,
19845M,NORTH DUBLIN NS PROJECT,226,N,53.3819302,-6.2682924,1115,1115,0,9.998109,9.998109,0.000000,9.998109,,30.014531,9.489969,-4.156645,26.017650,,,,,
19896G,SCOIL CAITRIONA NA MBRAITHRE,162,Y,53.3362025,-6.2458237,15784,14951,833,10.521147,10.188062,0.333084,9.854978,,17.505365,9.155866,9.187761,14.199496,,,39.651261,-1.956871,
19907I,GAELSCOIL MOLOGA,228,N,53.3173504,-6.2853573,949,949,0,2.173886,2.173886,0.000000,2.173886,,,1.491182,2.359280,,,,,,
19913D,ST JOSEPHS NS,347,Y,53.3981164,-6.2032168,722,692,30,10.678905,11.243200,-0.564294,11.807494,,6.298738,15.668333,13.755110,-2.389516,,,-11.091310,,
19919P,ST DAVIDS N S,285,N,53.3858123,-6.217246,4268,4009,259,18.265180,18.496195,-0.231014,18.727209,,,17.829555,19.866956,20.534880,,,-2.092900,,-3.579894
19920A,ST JOHN OF GOD N S,168,Y,53.3896502,-6.2173226,1293,1202,91,14.688147,15.395621,-0.707474,16.103095,,,13.496329,14.864790,22.092630,,,,,-8.267581
19924I,HAROLDS CROSS N S,381,Y,53.3173638,-6.2857534,909,909,0,2.360622,2.360622,0.000000,2.360622,,,2.207414,2.402110,,,,,,
19926M,GAELSCOIL CHOLAISTE MHUIRE,195,N,53.3535881,-6.2620967,14067,13548,519,29.676790,26.695230,2.981560,23.713670,,33.449292,27.201597,23.028064,31.240835,,,,57.089355,
19928Q,RANELAGH MULTI DENOM NS,232,N,53.3267982,-6.2576866,1889,1889,0,17.154460,17.154460,0.000000,17.154460,,45.163500,9.478837,17.061900,22.111410,,,,,
19929S,ST BRIGIDS SENIOR GIRLS,230,Y,53.3862754,-6.3102112,358,358,0,0.422873,0.422873,0.000000,0.422873,,,-6.487200,-3.932150,9.834348,,,,,
19933J,SCOIL TREASA NAOFA,192,Y,53.3344596,-6.2793638,11869,11135,734,5.901318,7.190017,-1.288699,8.478716,13.711670,,14.237683,1.019262,-0.259028,,,-18.086160,,
19935N,SCOIL EOIN,139,Y,53.3870066,-6.1570723,1281,1281,0,-5.805163,-5.805163,0.000000,-5.805163,,,14.275276,-8.118958,,,,,,
